step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
93,1.549999,0,1,-5.565563,25.316399,0.000000,18.160748,13.154610,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
94,1.566666,0,1,-5.258418,25.513662,0.000000,18.328045,12.265632,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95,1.583333,0,1,-4.949822,25.696440,0.000000,18.443586,11.391582,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
96,1.599999,0,1,-4.640686,25.864996,0.000000,18.505512,10.532929,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
97,1.616666,0,1,-4.331943,26.019627,0.000000,18.512306,9.690901,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
98,1.633332,0,1,-4.024543,26.160658,0.000000,18.462946,8.867377,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
99,1.649999,0,1,-3.719432,26.288462,0.000000,18.357082,8.064800,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
100,1.666666,0,1,-3.417538,26.403463,0.000000,18.195217,7.286015,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
101,1.683332,0,1,-3.119758,26.506145,0.000000,17.978956,6.534164,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
102,1.699999,0,1,-2.826919,26.597042,0.000000,17.711288,5.812549,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
103,1.716666,0,1,-2.539755,26.676741,0.000000,17.396990,5.124485,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
104,1.733332,0,1,-2.258857,26.745897,0.000000,17.043140,4.473138,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
105,1.749999,0,1,-1.984624,26.805189,0.000000,16.659872,3.861345,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
106,1.766666,0,1,-1.717183,26.855339,0.000000,16.261078,3.291331,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
107,1.783332,0,1,-1.456312,26.897079,0.000000,15.865232,2.764341,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
108,1.799999,0,1,-1.201360,26.931118,0.000000,15.495574,2.280106,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
109,1.816666,0,1,-0.951194,26.958103,0.000000,15.179111,1.836207,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
110,1.833332,0,1,-0.704214,26.978567,0.000000,14.943629,1.427410,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
111,1.849999,0,1,-0.458469,26.992868,0.000000,14.812624,1.045366,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
